acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,target
0.0759,0.752,164812,0.723,0.67,8,0.396,-4.748,1,0.0816,128.085,0.213,1
0.125,0.682,192000,0.627,0.00309,7,0.261,-5.481,1,0.14,129.956,0.237,1
0.206,0.645,183187,0.866,0,2,0.0976,-3.415,1,0.381,157.831,0.606,1
0.00467,0.665,257455,0.899,0.0632,4,0.189,-6.441,0,0.0391,110.022,0.15,1
0.259,0.756,179258,0.653,0.000244,6,0.133,-5.255,0,0.114,100.994,0.321,1
0.0136,0.727,232573,0.477,0.00147,2,0.241,-7.876,1,0.077,76.486,0.0689,1
0.0163,0.563,214627,0.747,0.00177,2,0.355,-8.936,1,0.376,165.152,0.723,1
0.00753,0.404,154291,0.498,0.815,1,0.105,-8.987,1,0.0727,110.891,0.0575,1
0.173,0.788,185753,0.64,1.16E-06,5,0.152,-5.661,0,0.239,145.884,0.448,1
0.284,0.844,147395,0.772,2.38E-06,7,0.368,-4.621,1,0.194,100.008,0.336,1
0.076,0.813,195853,0.627,0.000616,11,0.131,-5.018,0,0.0486,130.011,0.801,1
0.368,0.618,169512,0.565,0.0211,1,0.105,-8.915,1,0.0474,124.949,0.302,1
0.384,0.498,212615,0.623,0.000241,8,0.0742,-8.813,0,0.118,156.984,0.0864,1
0.451,0.858,100347,0.458,4.32E-06,6,0.108,-8.492,0,0.121,133.965,0.242,1
0.272,0.576,178977,0.73,0.000898,11,0.134,-5.289,0,0.0461,88.502,0.164,1
0.375,0.841,163107,0.47,0.128,7,0.134,-11.382,1,0.164,103.038,0.448,1
0.0454,0.465,182000,0.795,0,1,0.104,-5.354,1,0.221,120.088,0.147,1
0.00273,0.769,232046,0.506,0,0,0.0832,-11.658,1,0.0452,120.004,0.102,1
0.0165,0.739,136000,0.273,0.861,0,0.109,-8.942,1,0.0361,99.976,0.17,1
0.0226,0.673,183063,0.677,1.07E-06,1,0.09,-9.926,0,0.113,152.02,0.58,1
0.185,0.724,185143,0.939,0,2,0.123,0.147,0,0.363,139.999,0.712,1
0.0195,0.558,182697,0.674,4.39E-06,5,0.0599,-7.378,0,0.183,159.977,0.271,1
0.697,0.227,178107,0.431,0.464,9,0.0916,-9.275,0,0.0311,79.454,0.037,1
0.0185,0.624,172500,0.973,3.69E-06,11,0.0751,-2.279,0,0.0638,127.959,0.56,1
0.0938,0.663,361947,0.567,0.00978,5,0.124,-5.941,0,0.0309,108.959,0.139,1
0.0104,0.7,176444,0.703,0,7,0.0981,-4.794,0,0.0308,90.018,0.338,1
0.0931,0.716,143226,0.685,0.00357,6,0.258,-6.632,1,0.275,124.092,0.335,1
0.000743,0.62,260787,0.944,0.00263,11,0.0481,-3.18,0,0.0451,127.994,0.375,1
0.00312,0.657,196385,0.607,0,1,0.0758,-3.968,0,0.0337,131.993,0.0689,1
0.0572,0.587,177641,0.837,2.43E-06,1,0.0533,-4.084,1,0.419,160.132,0.579,1
0.0682,0.588,192888,0.424,0,1,0.181,-10.463,1,0.414,119.939,0.0587,1
0.0548,0.69,155880,0.52,0,4,0.101,-9.435,0,0.425,99.626,0.279,1
0.122,0.854,157079,0.852,0,11,0.249,-4.746,0,0.121,99.995,0.813,1
0.426,0.821,134054,0.592,0,1,0.0599,-4.82,1,0.0873,111.052,0.498,1
0.116,0.552,142124,0.492,3.77E-05,4,0.117,-11.475,0,0.266,175.215,0.082,1
0.0059,0.55,134997,0.566,0,5,0.139,-5.032,0,0.0283,109.92,0.123,1
0.0263,0.558,200000,0.727,0,1,0.184,-3.659,1,0.12,149.952,0.443,1
0.0949,0.848,170227,0.745,0,6,0.0796,-3.052,0,0.221,137.024,0.516,1
0.149,0.827,145902,0.83,0.0306,8,0.163,-7.432,0,0.105,126.013,0.512,1
0.0162,0.449,217944,0.973,1.63E-06,7,0.0828,-4.609,1,0.184,195.97,0.366,1
0.000726,0.421,199167,0.975,1.27E-06,2,0.353,-2.622,0,0.0639,90.006,0.687,1
2.27E-05,0.492,206445,0.932,0.0834,8,0.224,-5.655,1,0.117,129.974,0.159,1
0.0693,0.616,174759,0.678,3.12E-05,5,0.135,-7.628,0,0.0361,132.028,0.543,1
0.0135,0.807,253000,0.741,0.0316,1,0.06,-4.472,1,0.083,108.989,0.558,1
0.0626,0.747,144000,0.861,9.96E-05,4,0.291,-6.396,0,0.111,119.965,0.271,1
0.0533,0.878,157067,0.619,0,6,0.113,-5.56,1,0.102,136.041,0.639,1
0.128,0.9,148062,0.868,0,10,0.534,-3.465,0,0.102,107.669,0.819,1
0.144,0.467,164712,0.796,0,7,0.116,-3.487,1,0.048,77.962,0.236,1
0.0353,0.473,165706,0.646,0,7,0.256,-7.891,0,0.0713,155.113,0.254,1
0.249,0.598,197500,0.453,0.000205,6,0.111,-14.43,0,0.255,89.076,0.27,1
0.0333,0.766,141147,0.533,0,7,0.042,-12.056,1,0.0681,109.979,0.474,1
0.00614,0.49,193867,0.331,2.88E-06,5,0.113,-14.68,0,0.0401,164.167,0.524,1
0.69,0.701,232642,0.234,0.0225,2,0.359,-16.968,0,0.0576,89.985,0.481,1
0.274,0.352,177250,0.305,0.00146,10,0.109,-14.975,0,0.0625,136.496,0.288,1
0.104,0.425,143286,0.707,0.00655,6,0.231,-7.658,0,0.0709,155.118,0.414,1
0.000378,0.551,220055,0.957,0.023,2,0.349,-3.609,1,0.0986,104.988,0.148,1
0.0111,0.637,250000,0.571,0.732,4,0.13,-11.404,0,0.0333,142.034,0.0553,1
0.169,0.714,216912,0.892,2.62E-05,5,0.166,-2.253,0,0.365,105.003,0.661,1
0.283,0.702,160000,0.615,0.000113,0,0.314,-11.868,1,0.0899,89.986,0.503,1
0.195,0.639,173806,0.793,0,7,0.187,-6.165,0,0.202,141.97,0.496,1
0.231,0.71,291450,0.458,0.000195,10,0.1,-9.929,1,0.0874,113.95,0.262,1
0.0625,0.547,195200,0.917,0.00163,8,0.201,-2.484,1,0.0345,150.063,0.294,1
0.0262,0.695,211853,0.608,4.08E-06,1,0.157,-6.117,1,0.0341,120.002,0.394,1
0.0744,0.645,156190,0.778,1.54E-06,6,0.147,-3.757,0,0.275,126.041,0.405,1
0.259,0.749,173258,0.886,0.000172,5,0.342,-4.421,0,0.13,125.045,0.547,1
0.466,0.717,177397,0.678,2.54E-05,5,0.0717,-7.303,1,0.244,114.803,0.0818,1
0.00442,0.781,168397,0.718,0,11,0.132,-7.814,0,0.387,123.992,0.304,1
0.642,0.506,264000,0.434,0.00373,8,0.112,-9.392,0,0.0635,179.834,0.126,1
0.0203,0.58,224000,0.879,8.37E-06,6,0.617,-4.093,0,0.251,120.003,0.316,1
0.208,0.525,192366,0.523,1.09E-06,3,0.202,-9.078,0,0.0905,130.886,0.302,1
0.0255,0.589,100800,0.591,6.52E-05,1,0.169,-6.501,0,0.0365,99.529,0.327,1
0.05,0.721,189133,0.805,0,9,0.153,-4.134,0,0.0927,118.058,0.653,1
0.129,0.688,158272,0.708,5.18E-06,1,0.12,-6.953,1,0.253,169.98,0.507,1
0.0158,0.877,139076,0.774,0.11,1,0.111,-3.897,1,0.0732,145.023,0.292,1
0.352,0.732,183952,0.604,0,1,0.542,-9.895,1,0.272,123.989,0.446,1
0.0163,0.609,127579,0.863,5.05E-06,1,0.0819,-6.063,1,0.0531,94.994,0.458,1
0.265,0.581,243138,0.491,0,4,0.214,-10.944,0,0.2,131.523,0.219,1
0.44,0.425,310535,0.446,0.172,1,0.0845,-11.978,1,0.269,179.552,0.095,1
0.193,0.814,177288,0.558,0.000342,10,0.0969,-7.588,0,0.0652,130.018,0.25,1
0.00359,0.966,242448,0.519,0,1,0.254,-5.682,1,0.306,122.195,0.119,1
0.167,0.492,161163,0.945,1.40E-06,0,0.515,-3.152,0,0.0655,170.077,0.563,1
0.121,0.667,187381,0.601,0,3,0.144,-6.899,0,0.209,104.979,0.376,1
0.0028,0.591,235885,0.934,0,5,0.319,-2.951,1,0.282,107.013,0.357,1
0.366,0.534,243000,0.578,0.00432,7,0.119,-7.541,0,0.123,159.832,0.252,1
0.134,0.342,205213,0.573,0,6,0.229,-8.397,1,0.258,89.674,0.271,1
2.23E-05,0.353,255733,0.898,0.105,2,0.39,-5.877,1,0.052,103.293,0.525,1
8.18E-05,0.496,206471,0.915,1.82E-06,6,0.0471,-4.853,1,0.0878,100.031,0.346,1
0.155,0.412,187756,0.358,9.15E-06,2,0.0896,-9.415,0,0.0372,141.922,0.119,1
0.0473,0.822,133419,0.623,0,9,0.0991,-6.928,1,0.14,155,0.653,1
2.60E-05,0.514,225964,0.991,2.58E-05,4,0.369,-4.685,1,0.108,139.969,0.251,1
0.101,0.851,173000,0.56,6.98E-06,9,0.128,-6.206,1,0.0939,101.057,0.481,1
0.124,0.786,239516,0.688,3.30E-05,0,0.161,-5.175,0,0.163,77.531,0.489,1
0.624,0.515,226789,0.691,0,5,0.121,-4.028,0,0.0344,169.521,0.484,1
0.469,0.418,157326,0.445,0,5,0.123,-5.407,1,0.227,175.686,0.608,1
0.0556,0.657,155288,0.418,0.0311,1,0.117,-12.513,1,0.2,150.029,0.136,1
0.136,0.925,89652,0.332,1.27E-05,7,0.121,-10.843,1,0.232,99.995,0.234,1
0.0182,0.747,137360,0.588,0.0129,1,0.1,-7.412,1,0.0733,94.095,0.398,1
0.00471,0.765,146264,0.725,0.000194,3,0.154,-3.391,0,0.142,75.003,0.578,1
0.0019,0.824,162353,0.904,2.28E-05,1,0.0816,-4.844,1,0.146,101.96,0.334,1
0.357,0.764,143701,0.752,0.0739,7,0.112,-8.164,1,0.138,85.005,0.729,1
0.0778,0.752,182727,0.401,0.000117,3,0.208,-7.072,0,0.0512,110.016,0.465,1
0.000959,0.319,621027,0.584,0.504,7,0.0662,-10.122,1,0.0416,88.241,0.154,1
0.775,0.677,187310,0.301,0.00162,1,0.0814,-12.892,0,0.245,170.034,0.091,1
0.0288,0.83,197957,0.57,3.76E-06,10,0.143,-9.423,1,0.18,89.975,0.69,1
0.562,0.488,159783,0.311,0.000548,10,0.161,-11.467,0,0.297,184.112,0.579,1
0.366,0.625,307347,0.523,2.54E-06,1,0.0826,-8.227,0,0.0369,139.964,0.191,1
0.163,0.405,368720,0.619,0.000322,11,0.0788,-8.92,0,0.0618,120.087,0.234,1
0.118,0.802,177267,0.386,0.000518,2,0.102,-11.027,1,0.0567,130.041,0.37,1
0.00112,0.766,188013,0.821,0,1,0.168,-6.124,1,0.268,130.073,0.299,1
