Year,Month,ArtistScore,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,target
1993,1,0,0.799,0.504,2,-12.874,1,0.045,0.074,0.000609,0.118,0.92,101.067,1
1998,7,0,0.627,0.859,6,-10.152,0,0.0394,0.00831,0.344,0.0744,0.679,115.774,1
2003,5,1,0.41,0.922,1,-1.906,0,0.0499,3.10E-05,0.000343,0.189,0.327,109.511,1
1996,10,1,0.887,0.416,1,-7.346,1,0.0518,0.0295,1.06E-05,0.066,0.761,94.013,1
1992,1,0,0.453,0.689,8,-8.261,1,0.0404,0.00428,0.00124,0.81,0.303,174.758,1
2008,6,1,0.801,0.674,8,-4.185,0,0.0311,0.000282,0.000139,0.0914,0.875,125.009,0
1991,1,0,0.372,0.393,1,-13.239,0,0.0445,0.0131,1.93E-05,0.224,0.0963,111.159,1
2005,10,1,0.428,0.501,7,-6.364,1,0.0372,0.597,0.000231,0.0993,0.146,76.953,0
1998,1,0,0.679,0.0874,6,-21.821,1,0.924,0.625,0,0.405,0.704,129.775,0
2004,9,1,0.867,0.784,0,-4.145,1,0.0379,0.25,0,0.152,0.704,97.66,1
2017,12,1,0.504,0.481,7,-6.305,1,0.0282,0.0349,0.0042,0.134,0.165,123.827,1
2010,6,0,0.508,0.728,3,-7.088,0,0.0315,0.000653,0.000916,0.221,0.249,101.988,0
1991,9,0,0.592,0.423,2,-12.923,1,0.0264,0.646,0,0.0745,0.801,98.545,0
2004,2,0,0.713,0.76,9,-6.704,1,0.0579,0.696,0,0.364,0.819,140.121,0
2008,1,0,0.646,0.416,10,-8.813,1,0.0285,0.643,7.47E-06,0.102,0.511,143.822,1
2004,1,0,0.684,0.676,11,-8.576,0,0.0428,0.378,0,0.358,0.901,86.544,0
2009,5,0,0.604,0.902,5,-4.382,0,0.343,0.00488,0,0.38,0.436,96.002,0
2016,4,0,0.5,0.946,9,-2.588,1,0.0497,0.23,0,0.262,0.662,94.744,0
2008,2,0,0.454,0.808,5,-4.164,1,0.0453,0.153,0,0.288,0.811,168.077,0
1995,1,0,0.447,0.395,0,-10.671,0,0.0359,0.0343,0.546,0.12,0.316,111.014,0
2006,1,1,0.669,0.651,5,-5.79,1,0.0275,0.472,0.000109,0.272,0.605,148.091,1
2005,6,0,0.565,0.369,10,-11.679,1,0.0413,0.971,0.000755,0.185,0.913,149.84,0
1996,5,0,0.534,0.415,1,-11.781,0,0.0278,0.314,0.000365,0.0847,0.188,173.561,1
2008,5,0,0.416,0.991,10,-6.592,0,0.341,8.86E-05,0.929,0.955,0.113,178.258,0
2016,5,0,0.642,0.372,0,-10.397,1,0.0331,0.756,0.937,0.0707,0.157,100.041,0
1995,1,0,0.473,0.508,5,-10.826,0,0.0497,0.569,0.574,0.175,0.858,92.179,0
1992,4,0,0.463,0.4,6,-9.999,0,0.0308,0.643,2.46E-05,0.131,0.121,77.314,1
2004,1,0,0.48,0.923,9,-5.627,1,0.0493,5.70E-05,0.0144,0.0893,0.305,143.002,0
1992,1,0,0.722,0.307,2,-16.995,1,0.165,0.837,0.294,0.123,0.461,89.947,0
2005,6,0,0.479,0.323,9,-12.451,1,0.0355,0.195,0.002,0.139,0.193,110.452,0
1999,11,1,0.457,0.357,0,-12.636,1,0.0326,0.241,6.79E-05,0.0625,0.0396,118.029,0
1998,1,0,0.616,0.944,0,-6.096,1,0.0642,0.00212,2.37E-05,0.446,0.75,154.006,0
2008,8,0,0.675,0.859,11,-2.57,1,0.0318,0.214,0,0.117,0.556,110.037,1
1990,1,0,0.844,0.593,9,-14.885,1,0.0602,0.145,0.571,0.129,0.75,115.148,1
